timestamp_ms,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,filtered_ax,filtered_ay,filtered_az,filtered_gx,filtered_gy,filtered_gz,roll_deg,pitch_deg,yaw_deg,qx,qy,qz,qw,filter_method
115397,-0.081,-0.486,9.831,0.007,0.05,0.006,-0.081,-0.486,9.831,0.007,0.05,0.006,-2.2699084948617965,3.0612799291147184,0.38965973765847783,-0.0198910234831266,0.026638805386131288,0.00392761864593314,0.9994394904365975,complementary
115497,-0.139,-0.486,9.914,0.009,0.051,0.007,-0.139,-0.486,9.914,0.009,0.051,0.007,-2.230132667119749,3.3022773700054198,0.4297405444629199,-0.019560170274797745,0.028735209245562738,0.004308641002410542,0.9993863732816988,complementary
115597,-0.103,-0.467,9.828,0.007,0.044,0.007,-0.103,-0.467,9.828,0.007,0.044,0.007,-2.200607309762416,3.4954420141612577,0.4698727962521906,-0.019318680925655158,0.030414173473809106,0.004683393773430374,0.999339698221761,complementary
115697,-0.151,-0.469,9.893,0.007,0.048,0.007,-0.151,-0.469,9.893,0.007,0.048,0.007,-2.1715789271014527,3.712447222497651,0.5099687114350767,-0.019083461979375504,0.03230112328785113,0.005060964388469031,0.999283165850743,complementary
115797,-0.134,-0.493,9.869,0.005,0.049,0.006,-0.134,-0.493,9.869,0.005,0.049,0.006,-2.1571882633651733,3.9296051442407434,0.544437862138193,-0.018975492896751413,0.034189709914746874,0.005392844936076087,0.9992206521228264,complementary
115897,-0.129,-0.433,9.867,0.008,0.05,0.008,-0.129,-0.433,9.867,0.008,0.05,0.008,-2.119468896654772,4.1461420452929,0.5901787101040413,-0.018668724586067942,0.03607216334618973,0.0058150293483718125,0.9991578770081998,complementary
115997,-0.151,-0.503,9.862,0.007,0.048,0.006,-0.151,-0.503,9.862,0.007,0.048,0.006,-2.096195377429082,4.350039840597429,0.6245281139306289,-0.018485090676421706,0.03784561063391609,0.006139371592854989,0.999093749002002,complementary
116097,-0.098,-0.469,9.826,0.008,0.047,0.006,-0.098,-0.469,9.826,0.008,0.047,0.006,-2.0639687226213335,4.538557439282413,0.658931448930903,-0.018223778485362392,0.03948547053620097,0.006457923049734387,0.9990330759009608,complementary
116197,-0.146,-0.453,9.907,0.005,0.05,0.005,-0.146,-0.453,9.907,0.005,0.05,0.005,-2.04698241685055,4.745275401141729,0.6875661974034811,-0.018095063055273496,0.04128407152268353,0.006733471642881077,0.9989608873680541,complementary
116297,-0.16,-0.453,9.85,0.007,0.05,0.006,-0.16,-0.453,9.85,0.007,0.05,0.006,-2.019339426013711,4.950103761108808,0.721991662216666,-0.017876402894231504,0.043065889932881525,0.007054612305834354,0.9988873789317123,complementary
116397,-0.124,-0.455,9.869,0.008,0.05,0.006,-0.124,-0.455,9.869,0.008,0.05,0.006,-1.9868464822470784,5.146082735313369,0.7563507375911184,-0.017616045662170888,0.044770905846575774,0.007371032623530388,0.9988147519950676,complementary
116497,-0.098,-0.472,9.843,0.009,0.047,0.008,-0.098,-0.472,9.843,0.009,0.047,0.008,-1.9513563785986472,5.319105741338094,0.8022993325907617,-0.017334039188858997,0.046274332487067915,0.007782870538041648,0.9987480383782805,complementary
116597,-0.141,-0.491,9.881,0.007,0.05,0.005,-0.141,-0.491,9.881,0.007,0.05,0.005,-1.9300955732448983,5.50850553401365,0.8308147576585397,-0.01717090409897954,0.04792221942947339,0.008050057909906438,0.998671025666122,complementary
116697,-0.103,-0.479,9.867,0.006,0.048,0.008,-0.103,-0.479,9.867,0.006,0.048,0.008,-1.913366981191288,5.679956898028322,0.8766776747652345,-0.01705450460858872,0.049410746286979106,0.008467152055160358,0.9985970305183138,complementary
116797,-0.156,-0.496,9.876,0.008,0.051,0.005,-0.156,-0.496,9.876,0.008,0.051,0.005,-1.8875941849519,5.871315762100821,0.9053773100349276,-0.016854074062654496,0.05107596566866689,0.008732945640734978,0.9985143572222384,complementary
116897,-0.148,-0.462,9.857,0.008,0.049,0.009,-0.148,-0.462,9.857,0.008,0.049,0.009,-1.8586722638059485,6.0456835190700255,0.9568449847518863,-0.016636400844402884,0.052590053180217304,0.009192513634934835,0.9984352829134785,complementary
116997,-0.136,-0.441,9.847,0.004,0.047,0.005,-0.136,-0.441,9.847,0.004,0.047,0.005,-1.850316655541306,6.204520827887436,0.9854968769992812,-0.016587453779786165,0.053970496118481204,0.009460033799129613,0.9983599299282538,complementary
117097,-0.084,-0.486,9.898,0.007,0.045,0.007,-0.084,-0.486,9.898,0.007,0.045,0.007,-1.8301205125771907,6.3434807758903125,1.025709164945246,-0.016440213723963634,0.055177043828797824,0.009819607502579738,0.9982929372261033,complementary
117197,-0.156,-0.462,9.881,0.009,0.049,0.006,-0.156,-0.462,9.881,0.009,0.049,0.006,-1.7966213290457038,6.509244867849797,1.0600152926932525,-0.016176982701628,0.056619137938256445,0.010124236686018846,0.9982134432481489,complementary
117297,-0.122,-0.448,9.888,0.006,0.048,0.006,-0.122,-0.448,9.888,0.006,0.048,0.006,-1.7788672532889802,6.662789126403952,1.0944037925226493,-0.016050896058398594,0.057953398173183394,0.010435054080884475,0.9981357032098551,complementary
117397,-0.163,-0.476,9.821,0.007,0.048,0.006,-0.163,-0.476,9.821,0.007,0.048,0.006,-1.7594354922527633,6.818309430485668,1.1288146680517672,-0.015911159924605872,0.059305005066063086,0.010744972822984571,0.9980552574497071,complementary
117497,-0.156,-0.469,9.838,0.007,0.047,0.007,-0.156,-0.469,9.838,0.007,0.047,0.007,-1.7395682637608152,6.963686303247095,1.1688746291188625,-0.015770612917125733,0.06056752085996449,0.011102044973814514,0.9979777591622447,complementary
117597,-0.17,-0.474,9.776,0.004,0.048,0.007,-0.17,-0.474,9.776,0.004,0.048,0.007,-1.737800806720568,7.114136511868106,1.209026770418996,-0.015789043915828437,0.06187240661605525,0.011469816209131706,0.9978932581733831,complementary
117697,-0.134,-0.484,9.883,0.009,0.046,0.006,-0.134,-0.484,9.883,0.009,0.046,0.006,-1.7086145852656964,7.245478135261496,1.2433799445100058,-0.015564771513932886,0.06301440589623339,0.011769490354343597,0.9978218286017112,complementary
117797,-0.129,-0.472,9.855,0.006,0.046,0.006,-0.129,-0.472,9.855,0.006,0.046,0.006,-1.6956185485930206,7.373611630948524,1.2777270533930323,-0.015481880352915598,0.0641268278468762,0.012077141665144423,0.9977485675160026,complementary
117897,-0.139,-0.5,9.838,0.007,0.051,0.007,-0.139,-0.5,9.838,0.007,0.051,0.007,-1.6805602436178069,7.528850198105109,1.3178590183143577,-0.015387479592412216,0.06547466337605126,0.012436955189182981,0.9976580657084912,complementary
117997,-0.12,-0.429,9.883,0.008,0.048,0.006,-0.12,-0.429,9.883,0.008,0.048,0.006,-1.651689173192141,7.661973742350073,1.3522723527115768,-0.015168353138954134,0.06663222922008462,0.01273586718903019,0.9975810066251047,complementary
118097,-0.115,-0.491,9.883,0.007,0.048,0.006,-0.115,-0.491,9.883,0.007,0.048,0.006,-1.6362332623363713,7.791551092434123,1.3866473287664167,-0.015066351738287218,0.06775745515645551,0.013041318382142154,0.9975028101869562,complementary
118197,-0.113,-0.5,9.821,0.009,0.049,0.006,-0.113,-0.5,9.821,0.009,0.049,0.006,-1.6113113441278124,7.923739951069538,1.4209896018755108,-0.014882874418639794,0.06890650246503173,0.013340727507158779,0.9974228887270712,complementary
118297,-0.189,-0.443,9.835,0.01,0.051,0.006,-0.189,-0.443,9.835,0.01,0.051,0.006,-1.574435968696125,8.073985821107573,1.4554103128770335,-0.01459795693994737,0.070214151264836,0.013634964192743435,0.9973319208602526,complementary
118397,-0.113,-0.443,9.859,0.01,0.047,0.009,-0.113,-0.443,9.859,0.01,0.047,0.009,-1.5383459109537283,8.189077415382977,1.5068879460098021,-0.014327610724871008,0.07121368988630343,0.014073390448599524,0.9972588779374066,complementary
118497,-0.115,-0.469,9.821,0.008,0.044,0.007,-0.115,-0.469,9.821,0.008,0.044,0.007,-1.5173292381890884,8.285799184301489,1.5470017426279354,-0.014180198660941553,0.07205305105248966,0.014419756456372898,0.9971957432839866,complementary
118597,-0.141,-0.493,9.845,0.006,0.046,0.006,-0.141,-0.493,9.845,0.006,0.046,0.006,-1.5105961365572464,8.394961371064829,1.5814056513640997,-0.014155435226302152,0.07299959243572017,0.014726478351568786,0.9971227677638964,complementary
118697,-0.11,-0.5,9.802,0.008,0.049,0.008,-0.11,-0.5,9.802,0.008,0.049,0.008,-1.4938964270504427,8.514835321066087,1.6272083535230717,-0.0140531071937709,0.07403920387234024,0.015126897266374537,0.9970415655564432,complementary
118797,-0.136,-0.5,9.864,0.008,0.047,0.007,-0.136,-0.5,9.864,0.008,0.047,0.007,-1.4771300744602525,8.6242157570179,1.667314595951983,-0.013946067767755355,0.07498823441643451,0.015476252108800796,0.996966778540583,complementary
118897,-0.156,-0.457,9.869,0.008,0.051,0.006,-0.156,-0.457,9.869,0.008,0.051,0.006,-1.4557006351913362,8.756098713196623,1.701681293817549,-0.013798049412971074,0.07613438261535539,0.01577450646598392,0.9968772916271744,complementary
118997,-0.117,-0.424,9.835,0.005,0.045,0.006,-0.117,-0.424,9.835,0.005,0.045,0.006,-1.4478676283054963,8.847377570167493,1.7360733999868274,-0.01376401545127576,0.07692540342426309,0.016077599827424356,0.9968121914234701,complementary
119097,-0.139,-0.46,9.89,0.006,0.048,0.006,-0.139,-0.46,9.89,0.006,0.048,0.006,-1.438482301661355,8.95597885520093,1.7704435402677354,-0.013719119935430948,0.07786730661558362,0.01638100206152118,0.9967347345608522,complementary
119197,-0.113,-0.488,9.804,0.006,0.049,0.009,-0.113,-0.488,9.804,0.006,0.049,0.009,-1.4330048086971203,9.065231382197993,1.8220185445773118,-0.013720695328377157,0.07881221103393103,0.016836579180323108,0.9966528520569002,complementary
119297,-0.055,-0.51,9.847,0.008,0.047,0.006,-0.055,-0.51,9.847,0.008,0.047,0.006,-1.4187283086480635,9.154178019615054,1.8563901601790804,-0.013631936234267639,0.07958383213357718,0.017134284539868757,0.996587678165221,complementary
119397,-0.136,-0.505,9.89,0.008,0.049,0.009,-0.136,-0.505,9.89,0.008,0.049,0.009,-1.4038953317620497,9.261932027394986,1.9079501653932398,-0.013553423263626702,0.08051707771647201,0.017582617146229187,0.9965059741356926,complementary
119497,-0.136,-0.474,9.852,0.008,0.049,0.007,-0.136,-0.474,9.852,0.008,0.049,0.007,-1.3859913172846503,9.367570989284339,1.9480490448782257,-0.013440615340111223,0.08143377597748837,0.01792858158541208,0.9964268442548417,complementary
119597,-0.141,-0.474,9.821,0.003,0.046,0.006,-0.141,-0.474,9.821,0.003,0.046,0.006,-1.3966526740323255,9.45542621554422,1.9824911480322291,-0.013570246838455943,0.08219197555246305,0.01824387007262007,0.9963571090529237,complementary
119697,-0.072,-0.479,9.912,0.003,0.047,0.006,-0.072,-0.479,9.912,0.003,0.047,0.006,-1.407209093148025,9.538500558660415,2.016863993068048,-0.01369866386180044,0.08290851149291113,0.0185581218179048,0.9962901793378388,complementary
119797,-0.136,-0.498,9.85,0.007,0.048,0.007,-0.136,-0.498,9.85,0.007,0.048,0.007,-1.3976301960002073,9.633123486415075,2.0569819014600617,-0.013658335263291582,0.08372796545113137,0.01890878239586151,0.9962156069985832,complementary
119897,-0.132,-0.5,9.85,0.009,0.053,0.009,-0.132,-0.5,9.85,0.009,0.053,0.009,-1.3773664580396285,9.752740151950729,2.1084353147420334,-0.013537840573303993,0.08476513420511743,0.019352168895642362,0.9961210229961192,complementary
119997,-0.045,-0.448,9.84,0.006,0.046,0.007,-0.045,-0.448,9.84,0.006,0.046,0.007,-1.3682834180331782,9.821064153829166,2.148519755207114,-0.013499064040733299,0.08535588549190029,0.019700033567895774,0.996064283447279,complementary
120097,-0.089,-0.472,9.831,0.008,0.048,0.008,-0.089,-0.472,9.831,0.008,0.048,0.008,-1.3509078957942358,9.9048989802768,2.194420156391974,-0.01339543568292503,0.08608223668319355,0.02009345694727046,0.9959953131508157,complementary
120197,-0.11,-0.462,9.838,0.007,0.046,0.005,-0.11,-0.462,9.838,0.007,0.046,0.005,-1.3383650138865448,9.977822851997853,2.223060778827238,-0.013319585681156872,0.0867149495543299,0.02033930338723807,0.995936453243275,complementary
120297,-0.187,-0.438,9.855,0.006,0.049,0.007,-0.187,-0.438,9.855,0.006,0.049,0.007,-1.3287801479838806,10.075239715685232,2.2631851895593416,-0.01328250718445724,0.08755867574590492,0.02068912895233399,0.995855919924018,complementary
120397,-0.108,-0.46,9.874,0.006,0.046,0.006,-0.108,-0.46,9.874,0.006,0.046,0.006,-1.3218779082697154,10.14438860200203,2.297541969990233,-0.013260211908969161,0.08815689587703333,0.0209882977399705,0.9957971780676189,complementary
120497,-0.144,-0.508,9.826,0.009,0.049,0.007,-0.144,-0.508,9.826,0.009,0.049,0.007,-1.3040099436029933,10.233839603833811,2.3377123752162077,-0.01315091469955928,0.08893289548169103,0.021331062420487316,0.9957223404744019,complementary
120597,-0.136,-0.5,9.821,0.009,0.05,0.006,-0.136,-0.5,9.821,0.009,0.05,0.006,-1.2857838983276615,10.32517648417855,2.3720185029642136,-0.013034797073457349,0.08972604974528961,0.02162244124056628,0.9956464232332469,complementary
120697,-0.136,-0.462,9.867,0.006,0.049,0.008,-0.136,-0.462,9.867,0.006,0.049,0.008,-1.2799557472214864,10.40985483449459,2.4179003260345313,-0.01303486415252758,0.09045768508260478,0.022023337174584105,0.9955714299565431,complementary
120797,-0.115,-0.464,9.89,0.004,0.045,0.007,-0.115,-0.464,9.89,0.004,0.045,0.007,-1.2856148027691736,10.467649679440939,2.4580086721617067,-0.013125947574044911,0.09095414010401225,0.02238091360168696,0.9955170257733301,complementary
